"Gemeenten 2020","Gemeenten 2020 (gemnaam)","Gemeenten 2020 (Overgewicht)","Gemeenten 2020 (Bevolking)"
"Bergen (L.)","Bergen (L.)",55,10828
"Brunssum","Brunssum",60,1,22942
"Gennep","Gennep",53,1,13285
"Heerlen","Heerlen",57,8,71469
"Kerkrade","Kerkrade",61,3,37624
"Maastricht","Maastricht",47,7,101771
"Meerssen","Meerssen",53,9,15406
"Mook en Middelaar","Mook en Middelaar",48,7,6544
"Nederweert","Nederweert",50,6,14075
"Roermond","Roermond",53,47611
"Simpelveld","Simpelveld",55,8,8775
"Stein","Stein",57,20925
"Vaals","Vaals",52,6,8562
"Venlo","Venlo",54,5,82865
"Venray","Venray",54,2,34972
"Voerendaal","Voerendaal",54,1,10250
"Weert","Weert",51,6,40680
"Valkenburg aan de Geul","Valkenburg aan de Geul",54,13711
"Lelystad","Lelystad",55,3,61239
"Horst aan de Maas","Horst aan de Maas",53,4,34306
"Oude IJsselstreek","Oude IJsselstreek",56,4,31621
"Teylingen","Teylingen",48,2,29580
"Utrechtse Heuvelrug","Utrechtse Heuvelrug",47,8,38311
"Oost Gelre","Oost Gelre",53,8,23439
"Koggenland","Koggenland",48,6,18078
"Lansingerland","Lansingerland",48,6,46540
"Leudal","Leudal",52,29354
"Maasgouw","Maasgouw",54,6,19576
"Gemert-Bakel","Gemert-Bakel",51,6,24514
"Halderberge","Halderberge",57,3,24474
"Heeze-Leende","Heeze-Leende",48,3,13002
"Laarbeek","Laarbeek",52,1,18225
"Reusel-De Mierden","Reusel-De Mierden",53,10393
"Roerdalen","Roerdalen",55,17018
"Roosendaal","Roosendaal",57,5,62091
"Schouwen-Duiveland","Schouwen-Duiveland",54,6,27800
"Aa en Hunze","Aa en Hunze",53,9,20583
"Borger-Odoorn","Borger-Odoorn",58,20891
"Cuijk","Cuijk",52,5,20448
"Landerd","Landerd",50,5,12478
"De Wolden","De Wolden",52,5,19413
"Noord-Beveland","Noord-Beveland",56,6321
"Wijdemeren","Wijdemeren",48,2,19541
"Noordenveld","Noordenveld",52,8,24960
"Twenterand","Twenterand",58,1,25867
"Westerveld","Westerveld",53,3,15912
"Sint Anthonis","Sint Anthonis",49,9,9220
"Lingewaard","Lingewaard",52,6,36908
"Cranendonck","Cranendonck",50,9,16502
"Steenwijkerland","Steenwijkerland",54,4,35238
"Moerdijk","Moerdijk",57,6,30055
"Echt-Susteren","Echt-Susteren",55,8,25951
"Sluis","Sluis",53,6,19428
"Drimmelen","Drimmelen",53,9,22040
"Bernheze","Bernheze",51,1,24771
"Alphen-Chaam","Alphen-Chaam",50,3,8292
"Bergeijk","Bergeijk",51,1,15158
"Bladel","Bladel",51,7,16425
"Gulpen-Wittem","Gulpen-Wittem",52,9,11946
"Tynaarlo","Tynaarlo",50,25848
"Midden-Drenthe","Midden-Drenthe",54,26776
"Overbetuwe","Overbetuwe",52,37282
"Hof van Twente","Hof van Twente",54,3,28189
"Neder-Betuwe","Neder-Betuwe",54,1,18199
"Rijssen-Holten","Rijssen-Holten",53,7,28620
"Geldrop-Mierlo","Geldrop-Mierlo",50,8,32199
"Olst-Wijhe","Olst-Wijhe",53,3,14429
"Dinkelland","Dinkelland",52,3,20993
"Westland","Westland",49,9,87304
"Midden-Delfland","Midden-Delfland",47,4,15205
"Berkelland","Berkelland",54,3,35418
"Bronckhorst","Bronckhorst",53,4,29433
"Sittard-Geleen","Sittard-Geleen",56,5,76090
"Kaag en Braassem","Kaag en Braassem",50,4,22141
"Dantumadiel","Dantumadiel",54,3,14737
"Zuidplas","Zuidplas",51,8,34472
"Peel en Maas","Peel en Maas",51,6,35098
"Oldambt","Oldambt",62,1,31043
"Zwartewaterland","Zwartewaterland",53,16848
"Súdwest-Fryslân","Súdwest-Fryslân",51,2,70562
"Bodegraven-Reeuwijk","Bodegraven-Reeuwijk",49,3,27348
"Eijsden-Margraten","Eijsden-Margraten",52,2,21093
"Stichtse Vecht","Stichtse Vecht",48,5,51287
"Hollands Kroon","Hollands Kroon",51,4,38993
"Leidschendam-Voorburg","Leidschendam-Voorburg",48,5,60646
"Goeree-Overflakkee","Goeree-Overflakkee",55,2,39534
"Pijnacker-Nootdorp","Pijnacker-Nootdorp",47,9,41363
"Nissewaard","Nissewaard",59,7,68227
