Code,ExperiencedHealthGoodVeryGood,OneOrMorePhysicalLimitations,LimitationInMovement,Underweight,NormalWeight,Overweight,SatisfiesPhysicalActivityGuidelines,WeeklySportsParticipant,Smokers,ExcessiveDrinker,DistanceToGP,GPWithin5Km,DistanceToLargeSupermarket,SMWithin5Km,DistanceToDepartmentStore,DSWithin20Km,DistanceToCafe,CafeWithin5Km_35,DistanceToSnackBar,SBWithin5Km,DistanceToRestaurant,RestWithin5Km,DistanceToAccessMainRoad,DistanceToTrainStationsTotal,DistanceToImportantTransferStation,Gemeentenaam,ProvinciecodePV,Provincienaam,Population,DensityPerKM,CarsPer1000
GM0450,85.8,9.1,4.9,2.3,50.7,46.9,63.1,59.7,13.1,6.4,0.9,9.8,0.7,10.6,1.4,22.3,1.1,10.7,1.1,19.6,1.0,29.9,1.2,2.1,14.4,Uitgeest,PV27,Noord-Holland,13666.0,713.0,483.0
GM0451,80.0,13.5,8.3,1.9,50.9,47.3,46.1,57.5,15.6,6.5,1.5,5.4,0.8,8.1,2.1,34.9,1.2,9.9,0.7,19.3,0.7,38.4,1.6,11.5,12.3,Uithoorn,PV27,Noord-Holland,29478.0,1625.0,505.0
GM0184,83.7,12.3,5.6,2.7,51.5,45.8,49.6,43.9,22.7,6.8,0.7,4.0,0.7,6.3,1.4,2.0,1.5,7.0,0.6,10.3,1.5,12.3,1.0,23.4,42.5,Urk,PV24,Flevoland,21031.0,1599.0,354.0
GM0344,83.1,11.1,7.2,2.2,60.2,37.6,60.0,64.1,18.2,6.5,0.6,31.3,0.6,51.7,1.6,29.6,0.9,85.0,0.5,230.4,0.5,337.1,2.0,1.7,3.9,Utrecht,PV26,Utrecht,357597.0,3811.0,360.0
GM1581,82.7,13.1,7.5,2.9,52.6,44.6,,,12.8,5.1,1.1,6.2,1.1,6.1,1.8,24.2,1.6,4.2,0.9,15.7,0.7,26.6,1.1,4.4,15.7,Utrechtse Heuvelrug,PV26,Utrecht,49580.0,376.0,512.0
GM0981,71.1,18.5,12.9,1.3,45.7,53.0,42.1,44.3,20.1,4.4,1.4,2.1,1.3,3.8,1.7,8.3,0.6,11.5,1.0,6.2,0.4,29.1,0.6,14.5,17.1,Vaals,PV31,Limburg,10105.0,423.0,476.0
GM0994,75.5,19.0,11.1,1.3,47.8,50.9,45.2,44.4,18.6,7.0,1.0,8.0,1.2,6.6,2.2,19.9,0.5,36.9,1.0,26.4,0.7,82.5,0.8,1.5,9.3,Valkenburg aan de Geul,PV31,Limburg,16367.0,446.0,553.0
GM0858,79.1,14.2,8.8,1.0,48.8,50.2,47.8,51.5,19.7,7.2,0.9,8.3,1.0,9.5,1.8,20.0,0.7,23.2,0.6,31.1,0.8,36.9,1.1,11.1,12.0,Valkenswaard,PV30,Noord-Brabant,31193.0,568.0,546.0
GM0047,78.6,15.4,11.3,1.4,36.8,61.9,43.4,40.8,19.1,4.4,1.2,6.1,1.2,7.3,2.4,7.8,1.1,12.3,0.9,21.2,1.0,20.3,1.9,2.8,27.7,Veendam,PV20,Groningen,27384.0,360.0,530.0
GM0345,78.0,14.4,9.2,1.8,46.4,51.8,,,14.9,3.6,1.0,13.3,0.7,14.3,1.6,17.4,1.2,15.9,0.7,55.6,0.9,51.2,1.6,1.5,23.8,Veenendaal,PV26,Utrecht,66493.0,3417.0,484.0
GM0717,81.8,10.2,6.0,1.4,52.4,46.2,56.2,43.6,11.7,6.9,1.4,3.5,1.2,5.0,9.2,2.0,2.1,5.3,0.9,14.9,1.1,23.9,1.4,9.7,79.9,Veere,PV29,Zeeland,21880.0,165.0,551.0
GM0861,80.7,11.4,6.7,1.2,52.1,46.7,49.2,56.3,11.2,6.0,0.8,12.0,0.8,19.3,2.1,22.5,1.2,26.5,0.7,55.7,0.8,50.6,2.7,6.6,7.9,Veldhoven,PV30,Noord-Brabant,45466.0,1435.0,515.0
GM0453,76.6,15.4,9.4,1.5,49.5,49.0,55.4,51.8,17.2,7.2,0.6,14.1,0.6,14.8,1.5,22.9,1.2,21.0,0.5,49.2,0.5,62.0,1.5,3.4,8.5,Velsen,PV27,Noord-Holland,68648.0,1519.0,473.0
GM0983,75.0,19.3,11.7,1.6,45.3,53.1,52.6,46.5,19.1,6.2,0.9,8.3,0.7,21.3,2.2,7.0,0.7,53.1,0.5,78.9,0.8,75.3,1.4,2.4,3.5,Venlo,PV31,Limburg,101802.0,819.0,479.0
GM0984,76.1,16.8,9.6,1.3,44.7,54.0,52.9,55.8,15.7,5.3,1.6,3.5,1.3,8.3,2.9,5.0,1.0,15.7,1.0,27.1,1.3,19.0,1.5,3.8,24.6,Venray,PV31,Limburg,43614.0,267.0,530.0
GM1961,78.1,14.3,8.4,0.9,47.7,51.4,,,18.7,4.4,1.2,5.1,1.1,5.6,3.5,12.5,1.4,6.6,1.2,14.3,1.0,15.0,2.0,7.0,21.8,Vijfheerenlanden,PV26,Utrecht,56811.0,388.0,611.0
GM0622,78.7,14.9,10.4,1.4,43.3,55.3,45.2,44.6,17.4,4.7,0.7,16.2,0.7,29.1,1.5,48.3,0.7,49.5,0.6,74.4,0.7,81.3,1.5,6.0,10.2,Vlaardingen,PV28,Zuid-Holland,73397.0,3114.0,425.0
GM0096,,,,,,,,,,,0.6,1.0,0.5,3.0,19.1,1.0,0.6,1.0,0.4,5.0,0.3,9.9,35.4,34.0,61.4,Vlieland,PV21,Friesland,1155.0,30.0,366.0
GM0718,74.1,18.4,10.7,1.7,44.9,53.5,55.8,44.6,19.3,4.1,0.7,10.9,0.8,15.0,2.6,2.0,0.8,27.9,0.8,61.1,0.9,59.5,1.2,3.0,74.9,Vlissingen,PV29,Zeeland,44360.0,1293.0,465.0
GM0986,73.9,15.3,9.8,1.9,43.8,54.3,49.4,50.7,13.4,5.0,1.0,8.0,1.5,8.3,4.1,19.6,0.6,35.8,0.5,45.3,0.7,53.9,1.3,1.7,5.8,Voerendaal,PV31,Limburg,12475.0,396.0,579.0
GM0626,85.1,10.4,7.3,2.3,50.8,46.9,55.7,58.3,14.4,6.1,0.7,24.2,0.8,20.6,1.3,44.1,0.8,35.6,0.6,63.9,0.6,108.4,1.3,1.5,5.5,Voorschoten,PV28,Zuid-Holland,25596.0,2297.0,453.0
GM0285,80.5,14.9,9.9,1.1,46.0,53.0,52.7,49.7,14.2,8.1,1.5,2.6,1.5,4.7,3.3,12.3,2.3,4.2,1.3,13.5,1.2,19.0,1.0,2.5,6.7,Voorst,PV25,Gelderland,24552.0,200.0,532.0
GM0865,82.3,13.7,8.6,1.6,53.2,45.2,55.6,63.1,12.8,6.3,1.0,6.8,0.9,10.8,2.0,21.9,0.8,31.2,0.7,54.0,0.6,87.5,1.1,1.8,5.2,Vught,PV30,Noord-Brabant,26558.0,787.0,485.0
GM1949,80.3,11.8,7.3,1.1,44.3,54.6,52.0,45.4,17.4,8.0,1.6,2.1,1.6,3.3,4.4,6.1,2.7,3.9,2.3,5.5,2.2,5.1,1.4,6.4,16.4,Waadhoeke,PV21,Friesland,46090.0,162.0,518.0
GM0866,79.5,11.3,7.3,1.1,50.7,48.3,57.6,58.0,8.7,6.2,0.8,13.6,0.9,18.8,5.0,23.0,1.8,44.2,0.6,62.2,0.7,75.6,1.4,7.1,7.1,Waalre,PV30,Noord-Brabant,17456.0,780.0,544.0
GM0867,79.9,17.7,11.4,1.6,44.1,54.3,45.5,51.8,15.7,4.6,1.0,9.3,0.9,13.3,2.5,19.4,0.8,23.5,0.8,36.2,0.6,45.7,1.5,15.2,15.9,Waalwijk,PV30,Noord-Brabant,48637.0,753.0,544.0
GM0627,81.6,13.3,8.7,1.2,45.2,53.6,48.8,47.4,13.0,4.5,0.7,7.9,0.8,13.8,1.8,25.9,1.1,6.5,0.6,24.0,0.6,28.8,0.9,1.1,7.1,Waddinxveen,PV28,Zuid-Holland,29291.0,1055.0,502.0
GM0289,83.7,10.9,6.4,4.3,60.3,35.5,63.4,63.3,15.0,7.4,0.9,11.3,0.7,11.8,1.6,16.8,0.9,16.7,0.6,46.8,0.8,51.0,1.1,6.7,17.6,Wageningen,PV25,Gelderland,39664.0,1304.0,340.0
GM0629,80.7,13.7,8.4,2.0,52.1,45.9,52.7,55.6,12.1,8.3,1.1,5.9,1.2,9.7,1.9,41.9,1.4,6.5,1.0,31.3,0.8,47.9,1.0,3.8,6.9,Wassenaar,PV28,Zuid-Holland,26305.0,515.0,509.0
GM0852,83.5,11.0,6.6,1.2,52.3,46.5,50.9,56.2,12.5,7.2,1.0,2.2,2.0,1.9,7.9,22.9,2.7,2.5,1.9,9.3,0.8,13.0,0.8,11.1,15.1,Waterland,PV27,Noord-Holland,17424.0,334.0,464.0
GM0988,76.9,18.2,10.7,1.3,48.8,49.9,54.2,51.4,15.7,5.8,0.9,11.6,0.9,11.9,2.8,6.2,0.6,37.1,0.7,41.4,1.0,39.5,1.4,2.6,22.8,Weert,PV31,Limburg,50105.0,480.0,500.0
GM0457,81.7,9.4,6.5,0.8,51.5,47.7,48.2,53.0,15.3,6.0,0.7,8.0,0.8,5.0,1.1,37.8,0.8,8.7,0.6,14.8,0.6,40.9,1.2,1.4,15.4,Weesp,PV27,Noord-Holland,19738.0,866.0,416.0
GM1960,77.8,13.6,7.1,1.5,42.3,56.2,47.3,46.4,16.7,5.0,1.4,3.7,1.3,4.4,4.9,6.8,2.1,4.3,1.3,10.2,2.2,9.5,1.4,4.7,26.1,West Betuwe,PV25,Gelderland,51128.0,237.0,556.0
GM0668,78.9,16.3,8.0,0.8,45.6,53.6,48.0,47.3,15.3,5.2,1.4,2.6,1.9,3.2,4.4,8.2,1.1,4.9,0.9,8.0,0.7,8.1,1.8,12.2,25.5,West Maas en Waal,PV25,Gelderland,19324.0,252.0,581.0
GM1969,80.5,11.2,8.1,0.8,46.5,52.7,44.8,43.3,15.5,4.9,1.7,2.9,1.4,4.4,4.2,9.7,2.1,3.0,1.8,5.5,1.6,8.6,1.1,9.3,18.5,Westerkwartier,PV20,Groningen,63329.0,175.0,536.0
GM1701,80.3,13.6,7.6,1.6,46.8,51.6,49.7,45.6,14.0,8.3,2.2,1.4,2.4,1.6,7.1,3.8,6.5,0.6,1.9,3.7,1.2,8.7,1.1,11.8,42.9,Westerveld,PV22,Drenthe,19460.0,70.0,585.0
GM0293,78.1,17.6,10.3,2.2,43.1,54.7,50.1,49.6,20.2,6.3,0.8,7.3,0.6,15.8,1.5,18.3,0.8,15.7,0.6,28.6,0.8,30.8,2.7,1.5,7.5,Westervoort,PV25,Gelderland,14971.0,2130.0,493.0
GM1950,75.9,15.8,10.7,2.0,39.8,58.2,46.3,35.4,18.9,4.0,1.9,1.7,2.1,2.5,7.3,4.1,2.5,2.3,1.9,3.5,1.3,6.4,1.3,14.6,50.9,Westerwolde,PV20,Groningen,25733.0,93.0,564.0
GM1783,81.3,12.5,7.8,1.2,50.4,48.5,50.7,55.1,13.3,5.4,0.8,11.8,0.9,17.8,1.5,34.5,1.0,13.5,0.7,46.1,0.7,43.2,0.9,10.2,12.5,Westland,PV28,Zuid-Holland,110375.0,1358.0,504.0
GM0098,81.5,13.7,8.0,1.0,46.3,52.7,51.0,44.5,19.0,7.7,1.9,2.7,2.2,3.4,5.0,4.0,2.7,5.3,1.6,5.9,1.5,8.0,1.7,5.4,44.4,Weststellingwerf,PV21,Friesland,25914.0,118.0,535.0
GM0614,77.7,14.9,9.3,1.1,48.4,50.5,45.6,48.6,12.5,5.7,1.1,2.4,1.1,2.4,1.1,6.7,3.3,2.6,1.0,8.5,0.9,14.8,1.5,28.8,32.9,Westvoorne,PV28,Zuid-Holland,14731.0,277.0,599.0
GM0189,82.5,14.8,8.8,0.6,46.4,53.1,49.6,47.5,13.1,6.3,1.3,5.3,1.1,6.9,2.7,12.5,1.2,7.9,1.2,10.9,1.0,16.1,1.3,2.6,7.9,Wierden,PV23,Overijssel,24446.0,258.0,793.0
GM0296,77.3,15.1,8.7,1.4,47.1,51.5,52.0,52.9,15.6,5.4,1.3,8.6,1.2,8.3,2.4,13.8,1.7,6.1,1.0,23.2,1.3,25.1,1.5,2.4,11.3,Wijchen,PV25,Gelderland,41110.0,621.0,525.0
GM1696,82.1,11.6,7.1,2.1,47.8,50.1,46.7,49.3,13.1,9.5,1.3,8.6,1.5,7.0,2.8,24.7,1.8,14.0,0.9,27.3,0.6,49.5,2.1,6.1,7.5,Wijdemeren,PV27,Noord-Holland,24358.0,512.0,581.0
GM0352,80.2,13.0,8.9,1.9,52.5,45.6,,,18.9,7.9,0.6,6.3,0.8,5.8,2.0,16.9,1.4,7.1,0.8,9.1,0.8,18.6,1.6,10.6,21.3,Wijk bij Duurstede,PV26,Utrecht,23914.0,502.0,515.0
GM0294,79.4,14.3,8.6,1.5,46.6,52.0,53.4,44.7,16.1,6.0,1.6,5.3,1.2,10.0,2.0,5.3,1.3,7.4,1.1,22.1,1.0,26.4,1.2,2.2,38.4,Winterswijk,PV25,Gelderland,28854.0,209.0,497.0
GM0873,75.3,16.5,10.0,1.8,40.3,57.9,46.0,49.6,14.4,5.2,1.0,3.6,0.8,5.1,3.5,3.8,0.7,5.9,0.8,8.3,0.6,14.5,1.4,11.2,19.8,Woensdrecht,PV30,Noord-Brabant,21876.0,239.0,562.0
GM0632,81.0,10.6,6.1,1.6,51.4,47.1,,,13.7,5.2,1.1,5.8,0.9,8.2,2.9,22.9,1.4,6.3,1.2,22.1,0.8,36.5,1.5,2.9,16.9,Woerden,PV26,Utrecht,52299.0,590.0,471.0
GM1690,82.6,12.8,7.6,1.5,44.5,54.1,45.3,45.6,14.2,8.0,2.0,1.2,1.7,2.0,8.3,6.1,4.4,0.8,2.0,3.3,1.4,6.1,2.5,9.6,33.6,De Wolden,PV22,Drenthe,24330.0,108.0,586.0
GM0880,81.7,14.4,8.0,1.5,46.3,52.2,48.9,53.2,14.5,7.0,1.1,11.2,1.3,11.3,1.4,29.1,1.1,14.2,1.0,33.7,0.8,41.1,1.8,2.5,15.1,Wormerland,PV27,Noord-Holland,16270.0,422.0,484.0
GM0351,82.6,12.2,6.2,0.8,53.0,46.2,,,11.7,4.2,1.0,3.6,0.9,5.2,1.1,22.6,1.1,3.3,1.0,8.5,0.8,10.4,0.7,5.2,10.4,Woudenberg,PV26,Utrecht,13362.0,366.0,499.0
GM0479,76.9,16.0,9.9,1.4,45.9,52.7,47.3,45.9,19.4,5.9,0.8,15.9,0.6,20.9,2.4,37.8,1.3,25.9,0.6,56.4,0.6,53.7,1.6,2.1,11.1,Zaanstad,PV27,Noord-Holland,156794.0,2123.0,419.0
GM0297,77.9,15.0,7.9,1.5,44.4,54.0,42.6,44.2,20.7,7.2,1.2,5.0,1.1,4.2,4.8,11.0,1.9,3.8,1.2,12.9,1.5,13.5,1.6,5.6,17.4,Zaltbommel,PV25,Gelderland,28881.0,364.0,514.0
GM0473,79.4,17.2,11.0,1.6,53.0,45.4,50.2,49.9,19.4,9.6,0.7,5.0,0.7,5.1,1.4,17.1,1.0,11.8,0.5,27.3,0.5,70.0,1.9,1.0,9.4,Zandvoort,PV27,Noord-Holland,17116.0,533.0,456.0
GM0050,83.2,9.3,5.6,2.0,47.0,51.0,49.5,54.6,15.4,5.8,1.9,3.6,1.4,6.4,2.5,5.2,2.3,0.9,1.7,9.4,1.4,15.4,2.0,14.0,26.8,Zeewolde,PV24,Flevoland,22653.0,92.0,738.0
GM0355,79.2,13.0,8.5,2.0,54.5,43.5,,,14.1,5.9,0.9,11.8,0.8,15.7,2.2,35.2,1.5,12.5,0.7,40.3,0.8,62.9,1.9,3.7,10.7,Zeist,PV26,Utrecht,64905.0,1338.0,561.0
GM0299,76.9,16.3,8.7,2.1,40.9,56.9,52.5,46.4,17.5,8.4,1.3,5.0,1.1,6.6,4.0,15.8,1.1,11.3,0.9,14.4,1.0,25.5,1.4,4.3,17.0,Zevenaar,PV25,Gelderland,43750.0,472.0,536.0
