"ID";"Leeftijd";"Marges";"RegioS";"ErvarenGezondheidGoedZeerGoed_1";"EenOfMeerLichamelijkeBeperkingen_3";"BeperkingInBewegen_6";"Ondergewicht_7";"NormaalGewicht_8";"Overgewicht_9";"MatigOvergewicht_10";"ErnstigOvergewichtObesitas_11";"VoldoetAanBeweegrichtlijn_12";"WekelijksSporter_13";"Rokers_17";"OvermatigDrinker_20"
"965";"10000";"MBG0095";"GM1884";"    84.9";"    13.0";"     8.2";"     1.9";"    50.3";"    55.0";"    40.9";"    16.3";"    51.1";"    56.0";"    14.0";"    11.2"
"966";"10000";"MBG0095";"GM0166";"    82.6";"    17.9";"     9.9";"     2.6";"    52.8";"    52.9";"    37.2";"    18.2";"    54.4";"    48.5";"    24.4";"     8.5"
"967";"10000";"MBG0095";"GM0678";"    81.0";"    17.1";"    11.5";"     2.8";"    49.4";"    56.4";"    42.0";"    17.0";"    57.4";"    52.3";"    14.2";"     4.8"
"968";"10000";"MBG0095";"GM0537";"    84.1";"    15.3";"     9.7";"     1.8";"    50.2";"    56.2";"    36.6";"    22.3";"    56.3";"    47.8";"    20.0";"    10.8"
"969";"10000";"MBG0095";"GM0928";"    71.3";"    27.1";"    19.3";"     3.1";"    39.1";"    63.8";"    40.9";"    25.1";"    38.7";"    38.1";"    26.3";"     5.9"
"970";"10000";"MBG0095";"GM1598";"    88.2";"    11.9";"     7.8";"     3.3";"    56.2";"    49.4";"    37.7";"    14.1";"    59.7";"    62.4";"    20.2";"    11.0"
"971";"10000";"MBG0095";"GM0542";"    80.8";"    17.8";"    12.4";"     2.8";"    49.0";"    57.0";"    40.8";"    19.2";"    42.3";"    45.9";"    15.2";"     6.8"
"972";"10000";"MBG0095";"GM1931";"    85.1";"    12.7";"     8.5";"     3.7";"    49.8";"    53.3";"    39.2";"    16.0";"    50.2";"    51.0";"    14.6";"     6.9"
"973";"10000";"MBG0095";"GM1659";"    85.6";"    14.8";"     8.9";"     2.5";"    50.8";"    56.1";"    42.5";"    16.4";"    53.9";"    57.2";"    19.3";"    11.0"
"974";"10000";"MBG0095";"GM1685";"    83.0";"    19.5";"    10.8";"     1.7";"    53.4";"    52.4";"    37.3";"    17.6";"    59.3";"    62.4";"    12.8";"     9.5"
"975";"10000";"MBG0095";"GM0882";"    70.6";"    24.0";"    16.1";"     2.0";"    41.7";"    62.0";"    41.4";"    22.6";"    41.8";"    42.3";"    22.5";"     5.5"
