"ID";"RegioS";"Perioden";"AfstandTotHuisartsenpraktijk_1";"Binnen5Km_4";"AfstandTotGroteSupermarkt_20";"Binnen5Km_23";"AfstandTotWarenhuis_28";"Binnen20Km_31";"AfstandTotCafeED_32";"Binnen5Km_35";"AfstandTotCafetariaED_36";"Binnen5Km_39";"AfstandTotRestaurant_40";"Binnen5Km_43";"AfstandTotOpenbaarGroenTotaal_87";"AfstandTotBos_90";"AfstandTotSemiOpenbaarGroenTotaal_94";"AfstandTotSportterrein_95";"AfstandTotOpritHoofdverkeersweg_100";"AfstandTotTreinstationsTotaal_101";"AfstandTotBelangrijkOverstapstation_102"
"1230";"GM0362";"2020JJ00";"     0.8";"    20.9";"     0.7";"    29.4";"     2.8";"    39.1";"     1.4";"    14.8";"     0.7";"    75.3";"     0.5";"   146.1";"       .";"       .";"       .";"       .";"     1.4";"     6.4";"     6.4"
"1246";"GM0363";"2020JJ00";"     0.5";"    76.5";"     0.5";"    91.9";"     1.6";"    41.5";"     0.7";"   381.1";"     0.4";"   552.8";"     0.3";"  1027.2";"       .";"       .";"       .";"       .";"     2.0";"     2.5";"     4.3"
"1262";"GM0364";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1278";"GM0366";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1294";"GM0200";"2020JJ00";"     0.9";"    18.2";"     0.8";"    28.3";"     2.3";"    10.3";"     1.4";"    45.0";"     0.7";"    78.1";"     0.7";"    94.7";"       .";"       .";"       .";"       .";"     2.2";"     3.2";"     4.0"
"1310";"GM0003";"2020JJ00";"     1.4";"     2.4";"     0.9";"     6.0";"     1.1";"     3.9";"     1.0";"     8.3";"     0.7";"    12.7";"     0.9";"    14.6";"       .";"       .";"       .";"       .";"     1.0";"     1.5";"    25.5"
"1326";"GM0885";"2020JJ00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1342";"GM0202";"2020JJ00";"     0.9";"    14.6";"     0.7";"    35.0";"     1.9";"    19.9";"     1.1";"    76.8";"     0.6";"   113.7";"     0.7";"   143.9";"       .";"       .";"       .";"       .";"     1.8";"     2.1";"     4.2"
"1358";"GM0106";"2020JJ00";"     1.2";"     8.5";"     0.9";"    16.1";"     2.3";"     6.5";"     1.5";"    17.7";"     0.9";"    33.7";"     1.0";"    63.5";"       .";"       .";"       .";"       .";"     2.5";"     3.2";"    26.7"
"1374";"GM0743";"2020JJ00";"     1.3";"     4.3";"     1.1";"     7.5";"     1.7";"    11.7";"     0.9";"    12.3";"     0.9";"    14.6";"     0.8";"    20.0";"       .";"       .";"       .";"       .";"     1.9";"     8.3";"    22.9"
"1390";"GM0744";"2020JJ00";"     2.3";"     1.0";"     2.2";"     2.6";"     2.5";"     7.2";"     1.2";"     3.3";"     2.1";"     9.0";"     1.2";"     9.3";"       .";"       .";"       .";"       .";"     2.3";"    19.0";"    19.4"
"1406";"GM0308";"2020JJ00";"     0.9";"    11.1";"     0.6";"    12.7";"     1.3";"    24.5";"     1.2";"    11.6";"     0.7";"    28.5";"     0.6";"    50.8";"       .";"       .";"       .";"       .";"     1.3";"     1.5";"     8.5"
"1422";"GM0489";"2020JJ00";"     1.3";"    22.6";"     1.3";"    16.8";"     1.9";"    42.3";"     1.7";"    11.7";"     1.0";"    48.7";"     1.1";"    46.6";"       .";"       .";"       .";"       .";"     2.3";"     3.2";"    10.8"
